"Leisure activities"
"Subjects_1";"Subjects_2";"Subjects_3";"Subjects_4";"Personal characteristics";"Periods";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Sports";"Membership sports club";"Membership sports club";"Membership sports club";"Total personal characteristics";"%";"26";"26";"27";"28";"28";"27";"29";"30";".";".";".";".";".";".";"."
"Sports";"Membership sports club";"Membership sports club";"Membership sports club";"Men";"%";"29";"31";"31";"31";"32";"31";"34";"34";".";".";".";".";".";".";"."
"Sports";"Membership sports club";"Membership sports club";"Membership sports club";"Women";"%";"23";"22";"24";"25";"25";"23";"24";"26";".";".";".";".";".";".";"."
"Sports";"Physical exercise";"5 hours a week or more";"5 hours a week or more";"Total personal characteristics";"%";"13";"12";"13";"13";"13";"13";"14";"15";"16";"17";"18";"18";".";".";"."
"Sports";"Physical exercise";"5 hours a week or more";"5 hours a week or more";"Men";"%";"17";"16";"16";"16";"17";"16";"18";"19";"19";"21";"22";"21";".";".";"."
"Sports";"Physical exercise";"5 hours a week or more";"5 hours a week or more";"Women";"%";"9";"9";"9";"10";"10";"10";"11";"12";"12";"13";"14";"15";".";".";"."
"Sports";"Physical exercise";"1-4 hours a week";"1-4 hours a week";"Total personal characteristics";"%";"40";"41";"41";"41";"42";"42";"42";"42";"42";"42";"42";"42";".";".";"."
"Sports";"Physical exercise";"1-4 hours a week";"1-4 hours a week";"Men";"%";"37";"39";"38";"39";"39";"39";"39";"39";"39";"38";"39";"39";".";".";"."
"Sports";"Physical exercise";"1-4 hours a week";"1-4 hours a week";"Women";"%";"43";"43";"43";"43";"44";"44";"44";"45";"46";"46";"45";"45";".";".";"."
"Hobbies";"Membership hobby club";"Membership hobby club";"Membership hobby club";"Total personal characteristics";"%";"9";"8";"8";"9";"8";"8";"8";"8";".";".";".";".";".";".";"."
"Hobbies";"Membership hobby club";"Membership hobby club";"Membership hobby club";"Men";"%";"11";"11";"9";"10";"10";"8";"9";"11";".";".";".";".";".";".";"."
"Hobbies";"Membership hobby club";"Membership hobby club";"Membership hobby club";"Women";"%";"6";"6";"7";"7";"6";"7";"7";"6";".";".";".";".";".";".";"."
"Hobbies";"Drawing, hours per week";"5 hours a week or more";"5 hours a week or more";"Total personal characteristics";"%";"4";"4";"3";"3";"3";"3";"2";"3";"3";"3";"3";"3";".";".";"."
"Hobbies";"Drawing, hours per week";"5 hours a week or more";"5 hours a week or more";"Men";"%";"4";"4";"4";"3";"3";"3";"3";"2";"3";"3";"3";"3";".";".";"."
"Hobbies";"Drawing, hours per week";"5 hours a week or more";"5 hours a week or more";"Women";"%";"4";"4";"3";"4";"3";"2";"2";"3";"3";"3";"3";"3";".";".";"."
"Hobbies";"Drawing, hours per week";"1-4 hours a week";"1-4 hours a week";"Total personal characteristics";"%";"9";"9";"8";"9";"8";"9";"8";"8";"8";"8";"8";"8";".";".";"."
"Hobbies";"Drawing, hours per week";"1-4 hours a week";"1-4 hours a week";"Men";"%";"9";"8";"8";"9";"8";"8";"7";"7";"7";"7";"8";"7";".";".";"."
"Hobbies";"Drawing, hours per week";"1-4 hours a week";"1-4 hours a week";"Women";"%";"9";"9";"9";"9";"9";"10";"8";"8";"9";"9";"9";"9";".";".";"."
"Hobbies";"Singing, making music";"Hours spent singing, making music";"5 hours a week or more";"Total personal characteristics";"%";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";"4";"5";"5";"6"
"Hobbies";"Singing, making music";"Hours spent singing, making music";"5 hours a week or more";"Men";"%";"6";"6";"5";"6";"5";"6";"4";"5";"5";"6";"7";"5";"6";"7";"8"
"Hobbies";"Singing, making music";"Hours spent singing, making music";"5 hours a week or more";"Women";"%";"5";"4";"5";"5";"5";"5";"4";"3";"4";"3";"3";"4";"4";"3";"4"
"Hobbies";"Singing, making music";"Hours spent singing, making music";"1-4 hours a week";"Total personal characteristics";"%";"12";"13";"12";"11";"11";"12";"11";"12";"12";"11";"12";"11";"12";"12";"11"
"Hobbies";"Singing, making music";"Hours spent singing, making music";"1-4 hours a week";"Men";"%";"11";"11";"10";"9";"9";"10";"9";"10";"10";"10";"11";"9";"12";"11";"10"
"Hobbies";"Singing, making music";"Hours spent singing, making music";"1-4 hours a week";"Women";"%";"14";"14";"14";"13";"13";"14";"13";"14";"13";"12";"14";"13";"13";"14";"12"
"Hobbies";"Singing, making music";"Hours spent playing a musical instrument";"5 hours a week or more";"Total personal characteristics";"%";"3";"4";"3";"3";"3";"3";"3";"3";"2";"3";"3";"3";".";".";"."
"Hobbies";"Singing, making music";"Hours spent playing a musical instrument";"5 hours a week or more";"Men";"%";"4";"5";"4";"4";"4";"3";"3";"3";"3";"4";"4";"3";".";".";"."
"Hobbies";"Singing, making music";"Hours spent playing a musical instrument";"5 hours a week or more";"Women";"%";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";".";".";"."
"Hobbies";"Singing, making music";"Hours spent playing a musical instrument";"1-4 hours a week";"Total personal characteristics";"%";"6";"6";"6";"6";"6";"6";"7";"6";"6";"6";"6";"6";".";".";"."
